who_am_i,Cluster
i am smart,4
i am good at school academics,4
i am good at school academics,4
i am good at school academics,4
i am the oldest child,4
i am the oldest child,4
i am loved by a bunch of people,4
i am [student first name + last name],2
i am a good kid,4
i am a good kid,4
i am a good kid,4
i am a fun guy,4
i am a fun guy,4
i am not a quitter,4
i am black,4
i am white,4
"i am asian, cape virden, mexican, irish, light-skin, scottish, polish, indian, portuguese",4
i am a lover,4
i am a believer,4
i am done with this test and i am 5'4ft,4
i am done with this test and i am 5'4ft,4
[student first name],2
a kid who like cat's,0
a kid who like cat's,0
a kid who like brid's,0
a kid who like brid's,0
a kid who like math,0
a kid who like math,0
a kid who like math,0
a kid who like to clime tree's,0
a kid who like to clime tree's,0
a kid who like to clime tree's,0
a kid who like to clime tree's,0
a kid who like baseball,0
a kid who like baseball,0
a kid who like baseball,0
a kid who does not like basketball,0
a kid who does not like basketball,0
a kid who does not like basketball,0
a kid who has 5 siblings,4
a kid who has 5 siblings,4
a kid who like to sleep,0
a kid who like to sleep,0
a kid who like to sleep,0
a kid who like to sleep,0
i like to eat,0
ammaracen,4
a student,2
try,4
i am a seventh grade student,2
i am a seventh grade student,2
i am 12 years old,4
i am a girl,0
i am a soccer player,4
i am the oldest child,4
i am the oldest child,4
i go by she/her,4
i am a sister,4
i am a sister,4
i am american,4
i am a hard-working person,1
i am helpful,4
i am able to cook,4
i like working in groups,0
i like working in groups,0
i am interested in making jewelry,4
i am good at writing,4
i am good at dancing,4
i was born in december,4
i am in honors classes,4
i am in honors classes,4
i am pretty good at drawing,4
i like to read,0
i like to read,0
i enjoy chatting with my friends,4
i enjoy chatting with my friends,4
i am going to 7grade,4
i am going to 7grade,4
i am going to 7grade,4
i like going outside.,0
i like going outside.,0
i am the person that goes to my brothers dad's house,4
i have a lot of friends,4
i am a fellow citizen for united states.,4
i am [first name] a african and indian,4
i am [first name] a african and indian,4
i like playing games,0
i like playing games,0
i like to paint and draw,0
i like to paint and draw,0
i'm a friendly person,1
i am pretty,4
like music,0
i am someone that want to go to cape verde.,4
i enjoy math (sometimes),4
i enjoy math (sometimes),4
i have a snake,4
i like to talk to my friends,0
i like to talk to my friends,0
i like to talk to my friends,0
i am someone who loves water,4
i am a honor student.,2
a friend,4
i am the person that loves to go outside,1
i am the person that loves to go outside,1
i have 9 siblings,4
i have 2 brothers,4
i like doing group work.,0
i complete 13 assignment on math stream.,4
i am short compared to others,4
i want a fish,4
i am someone who loves math.,4
i am someone who loves math.,4
i am a student,2
i am [first name] a student,2
i am [first name] a student,2
i am a moms girl,4
i am a moms girl,4
i am an honors student.,2
i like going out with my parents,0
i like going out with my parents,0
english student,2
im a only child,4
im a only child,4
call of duty player,4
i like my mom,0
i'm a 11 year old,4
my favorite food is rice and chiken,4
[date possible birthday],4
i like to do something when i'm bored,0
i like to do something when i'm bored,0
i like popcorn,3
a [city] resident,4
l like butterflies,3
i am someone who likes to run.,4
i am someone who likes to run.,4
girlfriend,4
i am truthful,4
i am [first name] a antisocial,4
i am [first name] a antisocial,4
i am a students from 6 grades,4
i am a students from 6 grades,4
i am a students from 6 grades,4
i am christian,4
my favortie holiday is christmas,4
i like to go to dunkin' donuts,3
i like to go to dunkin' donuts,3
i have long hair,4
i like hang out with my friends,0
i like hang out with my friends,0
i like hang out with my friends,0
i speak 2 different languages,4
i speak 2 different languages,4
i am quiet,4
i am a person who likes to play games.,1
i am a person who likes to play games.,1
my older brother is in military-basic training,4
i am half brazilian,4
im a sports player,4
i like strawberry cheesecake.,3
i like homemade food,0
i like tv,0
i don't like spanish class,0
i don't like spanish class,0
i like to wear sweaters.,0
i am done with this test and i am 5'4ft,4
i am done with this test and i am 5'4ft,4
im black,4
i like to dance.,0
i like to dance.,0
a 7th grade student,2
a 7th grade student,2
a 7th grade student,2
i have cornrows,4
i like babies,3
i like to sleep,0
i like to sleep,0
i am cape verdean,4
i am a person with a dog,1
i was born in april,4
i can't do my hair,4
i like jordans,0
i like jordans,0
i am a singer.,4
i hang out with my friends,4
i hang out with my friends,4
im white,4
[first last name],4
i love music,0
i like to eat.,0
i like to eat.,0
i am 12 years old,4
i'm a good sister,4
i'm a good sister,4
i have a baby brother i love alot,0
a person who loves science,1
a person who loves science,1
i'm a good writer,4
artist,4
[first name],4
i'm vietnamese and chinese,4
i am [last name].,4
i'm an outside kid,4
i'm an outside kid,4
a english speaker,4
a english speaker,4
a coder,4
"i,m good at srose.",4
i am a thankful person,1
i am a spiderman enjoyer,4
i'm someone who's birthday is january,4
i like hanging out with family,0
i like hanging out with family,0
i like hanging out with family,0
i like spring,0
im me,4
i am a baseball player,4
i like the mall,3
i love mac n cheese,0
a nice guy,4
a nice guy,4
"i'm a student at the [school name] i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name] i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name] i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name] i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name] i love dancing, singing, gym class, art class, eating food",0
im 11,4
i am a girl.,0
i also like money,0
i also like money,0
i love the park.,0
i am a volleyball player.,4
i'm a student,2
i like art,0
i like art,0
i was born in [city],4
i like the weekends,3
i'm the oldest,4
i am a person who likes hoodies.,1
i am a person who likes hoodies.,1
i am excited for spring,4
im funny,4
i like to listen to music.,0
i like to listen to music.,0
a family member,4
[first name],4
i like cute outfit.,0
i like cute outfit.,0
i have fun with friends,4
i have fun with friends,4
i'm basketball player,4
"i am black,",4
i have two older brothers and two younger sisters,4
i don't like to do all of my homework,0
i don't like to do all of my homework,0
i'm nice,4
not like warm up,3
i'm a writer.,4
i am a person that to spend time with my brothers,1
i am a girl who loves her morning coffe.,4
i am a girl who loves her morning coffe.,4
i am the oldest sibling,4
i am cape verdean,4
i like cats and small dogs,0
the moon is cool,4
i like to sing.,0
i like to sing.,0
i am mature,4
i love fruit,0
i am [first name],4
resident of [city],4
i am reponsible,4
i dont like play station,0
i am a person who loves the ocean,1
[first name],4
i have short hair,4
i am a very nice and kind person,1
i am a very nice and kind person,1
my favorite season is summer,4
[letter of name],4
i like jollyranchers,3
i can be helpful,4
i would like to be in honors for math at 1 and 2 period at my school.,0
i would like to be in honors for math at 1 and 2 period at my school.,0
a student,2
i other favorite song is selfish by pnb rock.,4
i am [first name],4
l'm smart,4
l'm smart,4
i like my house and my room that's who i'm,0
i am a gamer,4
i am a brother,4
i am a brother,4
i dont like shurbert,0
i am smart!,4
i am smart!,4
i was a student ambassador.,2
i am a good kid,4
i am a good kid,4
i am a good kid,4
i am a person that finds normal math too easy a lot.,1
im a boy,4
mixed,4
i like math.,0
i like math.,0
i loved to sleep,4
i loved to sleep,4
i' m in 6th grade,4
i' m in 6th grade,4
i' m in 6th grade,4
i kinda like soccer,0
i kinda like soccer,0
i like tv,0
i am a person with two immigrant parents,1
i am a person with two immigrant parents,1
i'm the middle child,4
i'm the middle child,4
i like cheerleading.,3
i like cheerleading.,3
1/2 kids.,4
i am acheiving,4
i wanna be an  civil engineer,4
i am a cristgin,4
i have a boyfriend,4
i was is marching band,4
i'm a student.,2
i am somebody that loves to learn new things.,4
i am somebody that loves to learn new things.,4
i am a person with curly hair,1
apart of the [last name] family,4
i play for boxers,4
i want to be a rich person,1
i like to watch youtube,0
i like to watch youtube,0
i like to walk my dog,0
i like to walk my dog,0
i am [last name] .,4
i am funny.,4
i like to collect nike and jordan sneakers,0
i like to collect nike and jordan sneakers,0
[first last name],4
i don't like to wake up early,0
i don't like to wake up early,0
i'm in grade 6,4
i'm in grade 6,4
i'm in grade 6,4
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
i am a bit of a trouble maker.,4
i am christian,4
my favorite color is pink almost everything i own is pink.,4
love listen to music.,0
love listen to music.,0
im good at math,4
i am in sixth grade.,4
i am in sixth grade.,4
i am in sixth grade.,4
im a dather,4
i like to draw portraits of people,0
i like to draw portraits of people,0
i'm an artist.,4
i am a volleyball lover,4
i am a volleyball lover,4
i am a math hater,4
i have a dog,4
i m a rude,4
catholic,4
doesnt play sports,4
my favorite color is black,4
love music,0
i am sleepy all the time,4
i am him,4
i like to party,0
i like to party,0
vf bnj,4
i am a boy,4
my favorite football team is the ravens,4
my favorite football team is the ravens,4
12 year old,4
i like going out,0
i like going out,0
i like rock and pop music,0
a person who loves their science and english teachers,1
a person who loves their science and english teachers,1
i misbehave in class,0
im a diabetic,4
i am a person who likes to sleep.,1
i am a person who likes to sleep.,1
i'm black,4
a mathematics person,1
i like to go outside and touch grass.,0
i like to go outside and touch grass.,0
im cruios,4
i like football,0
i like football,0
i am a chines learner,4
i am a 8th grader,4
i am a 8th grader,4
i am a 8th grader,4
i love sleeping,0
i love sleeping,0
i like chicken,0
a nerf gun expert,4
i hate multiplying,4
i hate multiplying,4
i am a student,2
i am respectful,4
im someone who trys hard,4
i like games,0
i like games,0
i have five pets,4
i am an only child,4
i am an only child,4
im in tutoring,4
i like hanging out with my friends,0
i like hanging out with my friends,0
i like hanging out with my friends,0
im quiet,4
i am the youngest sibling,4
im a chicken lover,4
a fortnite player,4
i am myself,4
my favorite movie is jump in,4
i like math,0
i like math,0
i like using pemdas in math work,0
i like using pemdas in math work,0
i like cats,0
i am responsible,4
i am black and proud.,4
somebody who likes purple,4
doing lexia was intense for doing word study,4
i like when i drink water.,0
i like when i drink water.,0
i love my family,0
i love my family,0
i like football,0
i like football,0
i am a 6 foot asian kid,4
i am a 6 foot asian kid,4
i am a 6 foot asian kid,4
i am a person who likes to run,1
i am a person who likes to run,1
my favorite animal are dogs,4
i play video games,0
i have 10 fingers.,4
i like to be in school,0
i like to be in school,0
i love animals.,0
i am a 6th grader,4
i am a 6th grader,4
i am a 6th grader,4
i can speak 4 languages,4
i can speak 4 languages,4
i hate going out,4
i hate going out,4
i have glasses,4
i speak another language,4
i speak another language,4
i am a story lover,4
i love xbox,0
i love xbox,0
i like to see my friand,3
i like to see my friand,3
i like to see my friand,3
i have a dog,4
i love math.,0
i love math.,0
i'm afraid of being buried alive,4
a soon to be saxophonist,4
i am a fortnite sweat,4
im a black girl,4
im a black girl,4
half spainard and cabo verde and american,4
i am somewhat rude,4
i'm a student,2
honest,4
i wanna travel the world,4
i am 11 years old,4
i am someone who likes to hangout with my friends,4
i am someone who likes to hangout with my friends,4
i am someone who likes to hangout with my friends,4
i am [first name],4
i like when they have multiple examples.,3
i am a student,2
i like cheese pizza,0
im cape verden,4
i like music.,0
i am a nice person,1
i am a nice person,1
my fav color is blue,4
i love being alone,0
i love being alone,0
i love to listen to my type of music.,0
i love to listen to my type of music.,0
i speak creole.,4
i speak creole.,4
i like hazbin hotel,3
i am happy,4
i am someone who goes out with family,4
i am someone who goes out with family,4
i mostly do space games,4
i like nike shoes,0
i like nike shoes,0
i am someone who likes soccer,4
i am someone who likes soccer,4
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
"i'm a student at the [school name], i love dancing, singing, gym class, art class, eating food",0
best madden player,4
"i am talented,",4
i am a kind person,1
i am a kind person,1
i am someone that loves my mom,4
i like school,0
i like school,0
i am someone who likes going to the pool,4
i am someone who likes going to the pool,4
i play football.,4
i like playing roblox with my friends,0
i like playing roblox with my friends,0
i like playing roblox with my friends,0
i tend to get uncomfortable around certain boys at my school.,4
i tend to get uncomfortable around certain boys at my school.,4
i have parents,4
i like to dance,0
i like to dance,0
i play an instrument,4
pet owner,4
a third oldest,4
l'm tall,4
male,4
i love shoes,0
i love shoes,0
i am excited for summer.,4
i am a pizza lover,4
i am a 7th grade honors student.,2
i am a 7th grade honors student.,2
i am a 7th grade honors student.,2
[letter of name],4
i am african-american.,4
i am someone who loves taking care of little kids,4
i am someone who loves taking care of little kids,4
i am someone who loves taking care of little kids,4
i like sports.,0
i like sports.,0
im a boy,4
i am a role model to my youngest cousins,4
i am a role model to my youngest cousins,4
i speak two languages; english and haitian creole.,4
i speak two languages; english and haitian creole.,4
l like five guys milkshakes the oreo ones,3
i like teacher,0
i like teacher,0
student,2
nice,4
i like sleeping,0
i like sleeping,0
i am in pain most of the time. (physical),4
i am a homebody.,4
i'm kind,4
i enjoy watching tv,4
i enjoy watching tv,4
im the best dressed,4
not like math,0
not like math,0
i like to go outside.,0
i like to go outside.,0
funny,4
i try my hardest,4
i hate fish,4
i am brazilian,4
i speak english,4
i speak english,4
my favorite colors are red and black.,4
i do swmming,4
i like to know what i am doing at school,0
i like to know what i am doing at school,0
i am someone who's birthday that is at [date],4
i like to netflix nd chill,0
i like to netflix nd chill,0
presentable,4
i am a person that likes the nba,1
i am a music-lover,4
i am a music-lover,4
a hyperactive kid,4
a hyperactive kid,4
a hyperactive kid,4
a good friend,4
i like gym,0
i like gym,0
i like money,0
i like money,0
i like to play sports,0
i like to play sports,0
i love my old sckool,0
i love my old sckool,0
i'm sometimes friendly,4
a band student,2
a band student,2
i also enjoy to play video games,0
i also enjoy to play video games,0
i am learning math,4
i like pokemon,0
libra,4
i am accidentprone,4
i am always trying to get good grades,4
i have straight hair.,4
i am a human.,4
i am smart,4
i am smart,4
a confident person,1
a confident person,1
i am [first last name] the child of my father and mother,4
i am [first last name] the child of my father and mother,4
i am a six grader,4
i am a six grader,4
i am a six grader,4
born in america meant to be born in spain,4
i am a girl,0
i like food,0
i love afflicton style,0
i'm [first name],4
my favorite movie is friday,4
i like boly boll,3
i like boly boll,3
i am a dancer,4
i like ela,0
i like ela,0
im cool,4
i like gaming,0
i like gaming,0
i love amazon,0
i love fries,0
i play fortnite.,4
i am from hati,4
i am a chines food lover,4
love my mom,0
i am a cool peronn and im a dinasour,4
i am a cool peronn and im a dinasour,4
i am a cool peronn and im a dinasour,4
i am someone who likes cheesecake.,4
i am a feem for roblox,4
i don't really like math.,0
i don't really like math.,0
i am a student,2
i like games,0
i like games,0
i am someone how likes track.,4
i am someone how likes track.,4
and i make everyone feel nice inside,4
i believe duke dennis was born when abraham lincon died.,4
i like to sleep.,0
i like to sleep.,0
i am friendly,4
i am nice,4
i am cool,4
i am good at school academics,4
i am someone who likes summer.,4
i am a runner.,4
a aunties girl,0
a aunties girl,0
i'm brave,4
i like drawing.,0
i like drawing.,0
"i like when they tell me the quantity of time i was in it,",0
"i like when they tell me the quantity of time i was in it,",0
i like to wear leggings.,0
i like to wear leggings.,0
i wanna do track,4
im a male,4
i love mac n cheese,0
i love my african family.,0
i love my african family.,0
i want to go back to new york,4
i play football for [school],4
i love my parents,0
i love my parents,0
i like popsicles,3
i am an artist,4
im shy,4
i am a son,4
i am a son,4
i like anything math related,0
i like anything math related,0
im the youngest child,4
im the youngest child,4
student,2
i speak cape verdan creole.,4
i speak cape verdan creole.,4
im black,4
i am a strait a student,2
i like math,0
i like math,0
lazy,4
i make money.,4
i make money.,4
[first last name],4
i like to swim,0
i like to swim,0
am smart,4
am smart,4
best 2k player,4
"i am from a huge family, on both sides.",4
i love my mom,0
i love my mom,0
i'm from an immigrant family.,4
i'm from an immigrant family.,4
i am someone who is kind.,4
i like takis,0
i have 1 cat,4
sisters sister,4
sisters sister,4
i am a writer,4
my favorite subject is math,4
i like tv,0
i am a person who likes to where crocs,1
i am a person who likes to where crocs,1
i am a student,2
i like spicy food,0
my birthday is [date],4
i am balck,4
i am a man,4
i like playing games,0
i like playing games,0
i like funky socks....,3
i like funky socks....,3
im ecuadorian,4
i am [first name],4
a band kid,4
a band kid,4
a band kid,4
i am a hufflepuff,4
im the worst sister ever,4
im the worst sister ever,4
i am the middle child,4
i am the middle child,4
im 4'11,4
i like haitian stew chicken.,0
i dont like ice cream,0
i am a girl,0
i want to go d1.,4
i am someone who loves the country brazil,4
i wish they didn't give us school on friday.,4
i love baby dog,0
im in the art club,4
i am someone who likes dogs .,4
hungry man,4
hungry man,4
my birth day is [date],4
im a mess person,1
i am a athlete,4
i like to have fun,0
i like to have fun,0
i like music,0
a brother,4
a brother,4
i like soccer,0
i like soccer,0
my favorite color is pink,4
i'm a genius,4
i'm a genius,4
a gamer,4
student,2
they get on my last nerves,4
nice,4
i am the funniest person i know.,1
i don't like school,0
i like pizza,0
i am strong,4
i am an adventoures person,1
i am an athlete,4
a baker,4
i also enjoy english class. (sometimes),4
a friend,4
i am a good cook,4
i'm loving,4
i like my school,0
i am a sister.,4
i am a sister.,4
i like gym,0
i like gym,0
i'm darkskin,4
i used to have a ipad,4
i'm southeastern asian,4
i like mathia,0
i like mathia,0
i am someone who likes my friends,4
i am someone who likes my friends,4
i like boys,3
creative,4
i like to stake football more than hockey,0
i like to stake football more than hockey,0
i'm portuguese and cape verdean,4
i love chocolate n ice cream,0
i am someone's best friend.,4
i am easily annoyed,4
i am creative,4
i want to be a senior software enginer,4
i am a mamas girl,0
i am a mamas girl,0
who is nice,4
i am someone who loves math,4
i am someone who loves math,4
i love seafood,0
i enjoy listening to music,4
i enjoy listening to music,4
i like mango,3
i am kind,4
im outside most of the day,4
i like games.,0
i like games.,0
i love watching movie.,0
i love watching movie.,0
i play basketball,4
i'm from benin,4
i am a cousion.,4
i like pasta.,3
i am a gemini,4
i would like to get award for completing all math stream assignments.,0
i would like to get award for completing all math stream assignments.,0
i am kind,4
i am a dog owner,4
i am a dog lover,4
i have brown eyes,4
i like to make up languages.,0
i like to make up languages.,0
i like go to the gym to lift weight,0
i like go to the gym to lift weight,0
i am in a band,4
i like the boston celtics,0
i love go out to eat but only when i'm going out to eat nothing else,0
i love go out to eat but only when i'm going out to eat nothing else,0
i like taking naps,0
i like taking naps,0
i love listening to music when im down.,0
i love listening to music when im down.,0
i like tyo play w makeup,0
i like tyo play w makeup,0
i love dodgeball.,0
i love dodgeball.,0
good student,2
i am a pikmin fan,4
i am a pikmin fan,4
im a dad,4
i love dogs,0
i dont know,4
i am someone who is nice,4
i am considerate.,4
i am a chearleader on summer,4
i am not a morning person,1
im 11 years old,4
i am someone who likes boston celtics,4
i am someone who likes boston celtics,4
im a students,4
im a students,4
i like taking to my friends,0
i like taking to my friends,0
i like taking to my friends,0
i am a wing stop lover,4
i'm from cape verde,4
i like to travel,0
i like to travel,0
i am a boy,4
i don't like people,0
a human,4
i like my sisters,0
i am a student,2
niece of [first last name],4
niece of [first last name],4
i love my mom,0
i love my mom,0
a honest person,1
i like watching boxing and basketball,0
i like watching boxing and basketball,0
i am a person who prefers basketball over soccer,1
my fav color is black,4
i like listening to horror storys,0
i like listening to horror storys,0
i am a girl that loves the color blue.,4
i am a girl that loves the color blue.,4
i am an 11-year-old girl.,4
i am an 11-year-old girl.,4
i am asian american,4
i am someone who likes to spend time with my family.,4
i am someone who likes to spend time with my family.,4
i am someone who likes to spend time with my family.,4
"my favorite cousin is my little cousin [first name], i call him money.",4
i am someone who loves sprite,4
straight a student,2
i like writing,0
i like writing,0
i am a person who likes science,1
i am a person who likes science,1
i have no pets.,4
i am cape verdean,4
i like to gossip with my friend,0
i like to gossip with my friend,0
i like to gossip with my friend,0
i know how to play basket ball,4
i know how to play basket ball,4
i dont like school,0
christian,4
i was born in cabo verde,4
i am the oldest of 2 children,4
i am the oldest of 2 children,4
i'm smart,4
i'm smart,4
i have two siblings,4
i love my frends,0
i love my frends,0
my birthday is in june,4
i want to be at home,4
i love english,0
i love english,0
i am a sweat at fortnite,4
my favorite subjects are math and science,4
i am a defensive basketball player,4
i am a kind person.,1
i am a kind person.,1
a calm leader,4
a calm leader,4
a calm leader,4
i'm a fighter for my rights.,4
another favorite game i like is call of duty,0
another favorite game i like is call of duty,0
i need a phone.,4
i am vietnamese and chinese,4
i'm a pet owner.,4
i ma,4
im a good person,1
i am someone who likes cape verde,4
i like going out,0
i like going out,0
i'm black,4
i like money.,0
i like money.,0
i am someone who likes to go to waterparks,4
i am someone who likes to go to waterparks,4
i am someone who loves shoes,4
i am someone who loves shoes,4
i like learning new things,0
i like learning new things,0
i am a volleyball player,4
i'm a woman.,4
i am a very smart student,2
i am a very smart student,2
i am a very smart student,2
i am a cousin,4
i like joe bartalozzi,3
im 12 years old,4
im mixed ( puerto rican & black),4
i like wingstop.,0
im nice,4
i am someone who loves eating my moms cooking,4
i am someone who loves eating my moms cooking,4
i am someone who loves eating my moms cooking,4
i like acrylics,3
i like acrylics,3
my favorite food is alfredo,4
i love shrimp alfredo,0
i have blond hair,4
smart,4
smart,4
i'm the favorite child,4
i wish i was smart,4
i wish i was smart,4
i have a bape hoodie,4
i like food,0
i am someone who does not want to do this,4
i like movies,0
i am a student.,2
"5,10",4
i am a good person,1
i like school,0
i like school,0
others say i have a very uniquie personality.,4
i am in middle schools,4
im nice,4
i like cookies,3
i have a's but not in math that can show you that i don't like math,0
i have a's but not in math that can show you that i don't like math,0
i have blonde hair,4
i am someone who likes basketball,4
i am someone who likes basketball,4
a band kid,4
a band kid,4
a band kid,4
i am [first name].,4
seeks education,4
i am a person that likes to travel the world,1
i am a person that likes to travel the world,1
l'm from cape verde,4
i am a person who likes to swim,1
i am a person who likes to swim,1
i am someone who is a good friend,4
my favorite subject is math,4
i'm 6ft,4
i am a student,2
an 11 year old child,4
an 11 year old child,4
i love my nike tech,0
i love my nike tech,0
i'm great with kids.,4
my favorite soccer player is messi,4
a male,4
i like games,0
i like games,0
i love being comfy,0
i dislike rude people.,4
i dislike rude people.,4
my favorite subject is p.e,4
i am short,4
i am a great person,1
i video games,4
i like wendy's,3
i am a person who shows respect,1
i like school,0
i like school,0
i am 12,4
classmate,4
i am confident,4
i am confident,4
i like playing with my little brother,0
i like playing with my little brother,0
i like playing with my little brother,0
my favorite ice cream is cotton candy.,4
i am funny,4
i like to push myself,3
i am a good students,4
im nonchalent,4
my favorite color is blue,4
i am someone how loves apples.,4
i like yelling,3
i like yelling,3
i am someone who wants to speak spanish and chinsese,4
i don't like waking up early,0
i don't like waking up early,0
i don't like division,0
i don't like division,0
i have braids,4
i like school.,0
i like school.,0
my favorite teachers of all time is my 5th grade 4th and 3rd,4
my favorite teachers of all time is my 5th grade 4th and 3rd,4
[first last name],4
cfrvgbthyju,4
im german,4
i like shoes,0
i like shoes,0
[first last name],4
i like cleaning,3
i like cleaning,3
i am a math learner,0
i am a person who loves food.,1
i like traveling,0
i like traveling,0
i have 2 sister and 1 brother,4
i have 2 brothers,4
i dislike homework,4
i am a student.,2
who used to live in ecuaodor,4
i am a peroson,4
cook (practically gordan ramsey),4
my favorite is social studies,4
i am in honors ela,4
i am a brother,4
i am a brother,4
i play soccer,4
i am a leader,4
i am a leader,4
a student,2
"i am 5'1"".",4
i like my group in english,0
i like my group in english,0
a girl,0
i speak french,4
i speak french,4
my favorite number is 5,4
im more of a pedro pascal fan,4
im in a jazz band,4
i am kind,4
i'm hatian,4
i am a person who likes to sleep,1
i am a person who likes to sleep,1
a cousin,4
dancer,4
i am a math lover,4
i am a math lover,4
a smart teen,4
a smart teen,4
a smart teen,4
a smart teen,4
i am a person who like to play basketball,1
i am a person who like to play basketball,1
i am someone who likes to meet new people,4
i am someone who likes to meet new people,4
i have to sister.,4
i am awesome,4
i am i kid,4
i am i kid,4
i am a son,4
i am a son,4
im an 8th grader,4
im an 8th grader,4
im an 8th grader,4
i'm very tired,4
i like going outside,0
i like going outside,0
i like christmas,3
i like to go outside.,0
i like to go outside.,0
i am athletic,4
a class clown,0
a class clown,0
im an basketball player,4
[teacher] student,2
i try my best.,4
i like music,0
i like hoodies,0
i like hoodies,0
my mom taught me how to cook.,4
my mom taught me how to cook.,4
i like a girl in this school,0
i like a girl in this school,0
i am female,4
i like spicy food,0
i love the show the rookie,0
yes,4
i learned my five one,4
a person who gets addicted to fun side activities in a learning game.,4
a person who gets addicted to fun side activities in a learning game.,4
i like roblox,0
i like roblox,0
i like watching  movies,0
i like watching  movies,0
i am a bundle joy,4
i have 1 brother,4
i want to travel to japan when i am older,4
and ilove haiti foude,4
i like small games you can just take a break on,0
i like small games you can just take a break on,0
i like coryxkenshin.,3
i like coryxkenshin.,3
i am friendly,4
student,2
i love my family,0
i love my family,0
i like roblox,0
i like roblox,0
i like shorts,3
i like shorts,3
i like music,0
i like light skin people,0
i like hanging out wit family and friends,0
i like hanging out wit family and friends,0
i like hanging out wit family and friends,0
i like hanging out wit family and friends,0
i am a person who loves to read.,1
i am a person who loves to read.,1
i like marigold and roses,3
im britsh,4
artist,4
i am a potential body builder,4
i am someone who likes ice cream,4
i am cape verdan.,4
i am the oldest sibling,4
my favorite food is crab rangoon,4
im a catlover,4
i not like science,0
i not like science,0
[teacher] student,2
i am a finalist in eventing on horses.,4
i am someone who is kind,4
im a brother,4
im a brother,4
i am a student,2
i love track,0
i love track,0
i like walk cat,0
i like walk cat,0
science student,2
i am light skin,4
tom clancy rainbow six siege player,4
my favorite food is corn,4
i like to party.,0
i like to party.,0
i'm kind,4
i practice basketball,4
l' m a student at [school name],2
i am an 11 year old girl,4
i am an 11 year old girl,4
yes i like gym,0
yes i like gym,0
i like chicken,0
i know how to drive,4
i know how to drive,4
i am loyal,4
i am [first name] a baker,4
i am [first name] a baker,4
i like to play,0
i like to play,0
i am a boy,4
i am in love with chinese food,0
blue,4
i am a sister.,4
i am a sister.,4
i'm an athlete,4
i dislike football,4
i dislike football,4
i am shy,4
i love my hair,0
my favorite color is blue and pearl white,4
i am who i am.,4
i'm from cabo verde,4
i dont like being a bother.,0
i am a person who is good at math,1
like kids,0
i'm white,4
"i have black,brown hair",4
i love water,0
i like to put gloss on my lips,0
i like to put gloss on my lips,0
a swimmer,4
i have good grades,4
i am a 11 year old girl.,4
i am a 11 year old girl.,4
i am helpful,4
my favorite year was 2016 summer,4
im a funny person,1
im a funny person,1
i speak portuguese.,4
i speak portuguese.,4
i'm straight a student,2
i like too do my hair,0
i like too do my hair,0
i am a chicken lover,4
i don't like test,0
i don't like test,0
i have a nike tech,4
business owner,4
i play softball,4
i am ecuadorian,4
i'm a nice person,1
i'm a nice person,1
trump supporter.,4
im a sports lover,4
im a sports lover,4
i dont like math,0
i dont like math,0
[letter of name],4
i am a girl,0
a soccer player,4
i like volleyball,0
i like volleyball,0
my favorite subject in school is math,0
i dont like math,0
i dont like math,0
i am short,4
i am someone that learn quick,4
i play soccer,4
i am a person who loves baby blue,1
i don't like school.,0
i am a [school name mascot],4
i like to sleep.,0
i like to sleep.,0
i babysit my neice's,4
i babysit my neice's,4
i love drawing,0
i love drawing,0
kind,4
my skin color is brown,4
i am the person that likes to go to places,1
i am the person that likes to go to places,1
i like volleyball,0
i like volleyball,0
i am a independent child,4
i am a independent child,4
i like doing my nails.,0
i like doing my nails.,0
i have 3 sisters and 1 brother,4
i am african,4
i am honors academy student,2
i am [first last name],4
i am a person who loves cooking,1
i am a person who loves cooking,1
im a gamer,4
girl,0
im going to bahams in may,4
i am the middle child on my dad side,4
i am the middle child on my dad side,4
someone who needs glasses,4
im smart,4
im smart,4
"i like art, music, food, reading books, and i love an hate math",0
"i like art, music, food, reading books, and i love an hate math",0
"i like art, music, food, reading books, and i love an hate math",0
"i like art, music, food, reading books, and i love an hate math",0
i play volleyball,4
i am someone who loves my parents,4
i am someone who loves my parents,4
im good looking,4
im a clean person,1
funny,4
i have no pets,4
i want a pet dog,4
"i have bad hearing and always say ""huh""",4
i am a person who enjoys making art,1
i am a person who enjoys making art,1
i'm good at math,4
i am in the honors academy.,4
i am someone who likes to eat chiken,4
i am someone who likes to eat chiken,4
i am the oldest child.,4
i am the oldest child.,4
my favorite subject is math,4
